"","variety","chill","tree","week","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","sub","trials","gtip","full","both","tree_u","tree_sub","chill.c","prop","propGT","propLO","CP","GDH","CP_c","GDH_c","CP_scale","GDH_scale"
"1","Lapins",16,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,8,0,0,0,"1Lapins161","1Lapins16",-1.82460177256459,0,0,0,15.0712720957204,7324.32399181837,1.04980935795485,1.57567581469224,14.3561990389198,4648.3698762927
"2","Lapins",16,1,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,8,0,0,0,"1Lapins161","1Lapins16",-1.82460177256459,0,0,0,15.0712720957204,10551.8688660274,1.04980935795485,2.27001489701656,14.3561990389198,4648.3698762927
"3","Lapins",16,1,3,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,8,0,0,0,"1Lapins161","1Lapins16",-1.82460177256459,0,0,0,15.0712720957204,13753.7517551997,1.04980935795485,2.95883333754175,14.3561990389198,4648.3698762927
"4","Lapins",16,1,4,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,8,0,0,0,"1Lapins161","1Lapins16",-1.82460177256459,0,0,0,15.0712720957204,16921.2645927136,1.04980935795485,3.64025777703583,14.3561990389198,4648.3698762927
"5","Lapins",16,1,5,1,1,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,1,8,4,0,4,"1Lapins161","1Lapins16",-1.82460177256459,0.5,0.5,0,15.0712720957204,20167.5845380646,1.04980935795485,4.33863592502008,14.3561990389198,4648.3698762927
"6","Lapins",16,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,9,0,0,0,"2Lapins161","2Lapins16",-1.82460177256459,0,0,0,15.0712720957204,7324.32399181837,1.04980935795485,1.57567581469224,14.3561990389198,4648.3698762927
"7","Lapins",16,2,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,9,0,0,0,"2Lapins161","2Lapins16",-1.82460177256459,0,0,0,15.0712720957204,10551.8688660274,1.04980935795485,2.27001489701656,14.3561990389198,4648.3698762927
"8","Lapins",16,2,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,9,0,0,0,"2Lapins161","2Lapins16",-1.82460177256459,0,0,0,15.0712720957204,13753.7517551997,1.04980935795485,2.95883333754175,14.3561990389198,4648.3698762927
"9","Lapins",16,2,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,9,0,0,0,"2Lapins161","2Lapins16",-1.82460177256459,0,0,0,15.0712720957204,16921.2645927136,1.04980935795485,3.64025777703583,14.3561990389198,4648.3698762927
"10","Lapins",16,2,5,1,1,1,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,1,9,6,0,6,"2Lapins161","2Lapins16",-1.82460177256459,0.666666666666667,0.666666666666667,0,15.0712720957204,20167.5845380646,1.04980935795485,4.33863592502008,14.3561990389198,4648.3698762927
"11","Lapins",16,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,13,0,0,0,"3Lapins161","3Lapins16",-1.82460177256459,0,0,0,15.0712720957204,7324.32399181837,1.04980935795485,1.57567581469224,14.3561990389198,4648.3698762927
"12","Lapins",16,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,13,0,0,0,"3Lapins161","3Lapins16",-1.82460177256459,0,0,0,15.0712720957204,10551.8688660274,1.04980935795485,2.27001489701656,14.3561990389198,4648.3698762927
"13","Lapins",16,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,13,0,0,0,"3Lapins161","3Lapins16",-1.82460177256459,0,0,0,15.0712720957204,13753.7517551997,1.04980935795485,2.95883333754175,14.3561990389198,4648.3698762927
"14","Lapins",16,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,13,0,0,0,"3Lapins161","3Lapins16",-1.82460177256459,0,0,0,15.0712720957204,16921.2645927136,1.04980935795485,3.64025777703583,14.3561990389198,4648.3698762927
"15","Lapins",16,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,13,0,0,0,"3Lapins161","3Lapins16",-1.82460177256459,0,0,0,15.0712720957204,20167.5845380646,1.04980935795485,4.33863592502008,14.3561990389198,4648.3698762927
"16","Lapins",16,4,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,11,0,0,0,"4Lapins161","4Lapins16",-1.82460177256459,0,0,0,15.0712720957204,7324.32399181837,1.04980935795485,1.57567581469224,14.3561990389198,4648.3698762927
"17","Lapins",16,4,2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,11,0,0,0,"4Lapins161","4Lapins16",-1.82460177256459,0,0,0,15.0712720957204,10551.8688660274,1.04980935795485,2.27001489701656,14.3561990389198,4648.3698762927
"18","Lapins",16,4,3,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,11,0,0,0,"4Lapins161","4Lapins16",-1.82460177256459,0,0,0,15.0712720957204,13753.7517551997,1.04980935795485,2.95883333754175,14.3561990389198,4648.3698762927
"19","Lapins",16,4,4,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,11,0,0,0,"4Lapins161","4Lapins16",-1.82460177256459,0,0,0,15.0712720957204,16921.2645927136,1.04980935795485,3.64025777703583,14.3561990389198,4648.3698762927
"20","Lapins",16,4,5,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,11,0,0,0,"4Lapins161","4Lapins16",-1.82460177256459,0,0,0,15.0712720957204,20167.5845380646,1.04980935795485,4.33863592502008,14.3561990389198,4648.3698762927
"21","Lapins",16,5,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,11,0,0,0,"5Lapins161","5Lapins16",-1.82460177256459,0,0,0,15.0712720957204,7324.32399181837,1.04980935795485,1.57567581469224,14.3561990389198,4648.3698762927
"22","Lapins",16,5,2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,11,0,0,0,"5Lapins161","5Lapins16",-1.82460177256459,0,0,0,15.0712720957204,10551.8688660274,1.04980935795485,2.27001489701656,14.3561990389198,4648.3698762927
