"","variety","chill","tree","week","sub","trials","tree_u","tree_sub","timetog","timetob","timeto5","timeto2","timeto5l","gtip","full","both","prop","timeto9","timegap5","timegap9","ratio"
"5","Lapins",16,1,5,1,8,"1Lapins161","1Lapins16",5,NA,NA,5,Inf,4,0,4,0.5,NA,NA,NA,0
"10","Lapins",16,2,5,1,9,"2Lapins161","2Lapins16",5,NA,5,5,Inf,6,0,6,0.666666666666667,NA,Inf,NA,0
"15","Lapins",16,3,5,1,13,"3Lapins161","3Lapins16",NA,NA,NA,NA,Inf,0,0,0,0,NA,NA,NA,NA
"20","Lapins",16,4,5,1,11,"4Lapins161","4Lapins16",NA,NA,NA,NA,Inf,0,0,0,0,NA,NA,NA,NA
"25","Lapins",16,5,5,1,11,"5Lapins161","5Lapins16",5,NA,NA,5,Inf,3,0,3,0.272727272727273,NA,NA,NA,0
"30","Lapins",16,6,5,1,7,"6Lapins161","6Lapins16",NA,NA,NA,NA,Inf,0,0,0,0,NA,NA,NA,NA
"35","Lapins",26,1,5,1,13,"1Lapins261","1Lapins26",2,5,5,3,Inf,3,4,7,0.538461538461538,NA,Inf,NA,1.33333333333333
"40","Lapins",26,2,5,1,12,"2Lapins261","2Lapins26",2,5,NA,3,Inf,4,1,5,0.416666666666667,NA,NA,NA,0.25
"45","Lapins",26,3,5,1,11,"3Lapins261","3Lapins26",2,5,4,3,Inf,5,3,8,0.727272727272727,NA,Inf,NA,0.6
"50","Lapins",26,4,5,1,13,"4Lapins261","4Lapins26",2,5,3,2,Inf,9,2,11,0.846153846153846,NA,Inf,NA,0.222222222222222
"55","Lapins",26,5,5,1,13,"5Lapins261","5Lapins26",2,NA,4,3,Inf,10,0,10,0.769230769230769,NA,Inf,NA,0
"60","Lapins",26,6,5,1,9,"6Lapins261","6Lapins26",3,NA,NA,4,Inf,4,0,4,0.444444444444444,NA,NA,NA,0
"65","Lapins",31,1,5,1,9,"1Lapins311","1Lapins31",2,4,2,2,Inf,7,2,9,1,3,Inf,Inf,0.285714285714286
"70","Lapins",31,2,5,1,11,"2Lapins311","2Lapins31",2,4,3,2,Inf,7,4,11,1,4,Inf,Inf,0.571428571428571
"75","Lapins",31,3,5,1,10,"3Lapins311","3Lapins31",2,3,5,3,Inf,1,5,6,0.6,NA,Inf,NA,5
"80","Lapins",31,4,5,1,13,"4Lapins311","4Lapins31",2,4,3,2,Inf,8,5,13,1,5,Inf,Inf,0.625
"85","Lapins",31,5,5,1,10,"5Lapins311","5Lapins31",3,4,3,3,Inf,7,3,10,1,3,Inf,Inf,0.428571428571429
"90","Lapins",31,6,5,1,10,"6Lapins311","6Lapins31",2,4,3,2,4,3,7,10,1,3,1,1,2.33333333333333
"95","Lapins",37,1,5,1,12,"1Lapins371","1Lapins37",2,3,2,2,Inf,5,5,10,0.833333333333333,NA,Inf,NA,1
"100","Lapins",37,2,5,1,11,"2Lapins371","2Lapins37",2,3,2,2,5,4,6,10,0.909090909090909,4,3,1,1.5
"105","Lapins",37,3,5,1,12,"3Lapins371","3Lapins37",2,4,3,2,5,4,8,12,1,4,2,1,2
"110","Lapins",37,4,5,1,13,"4Lapins371","4Lapins37",2,4,2,2,5,6,7,13,1,2,3,3,1.16666666666667
"115","Lapins",37,5,5,1,13,"5Lapins371","5Lapins37",2,3,5,2,Inf,6,5,11,0.846153846153846,NA,Inf,NA,0.833333333333333
"120","Lapins",37,6,5,1,11,"6Lapins371","6Lapins37",2,3,2,2,5,3,6,9,0.818181818181818,NA,3,NA,2
"125","Lapins",42,1,5,1,13,"1Lapins421","1Lapins42",2,3,5,2,Inf,3,6,9,0.692307692307692,NA,Inf,NA,2
"130","Lapins",42,2,5,1,12,"2Lapins421","2Lapins42",2,3,3,2,5,3,8,11,0.916666666666667,5,2,0,2.66666666666667
"135","Lapins",42,3,5,1,12,"3Lapins421","3Lapins42",3,4,5,3,Inf,4,5,9,0.75,NA,Inf,NA,1.25
"140","Lapins",42,4,5,1,12,"4Lapins421","4Lapins42",2,3,4,2,Inf,4,6,10,0.833333333333333,NA,Inf,NA,1.5
"145","Lapins",42,5,5,1,12,"5Lapins421","5Lapins42",2,3,2,2,5,2,9,11,0.916666666666667,3,3,2,4.5
"150","Lapins",42,6,5,1,11,"6Lapins421","6Lapins42",2,3,2,2,Inf,5,5,10,0.909090909090909,5,Inf,Inf,1
"155","Lapins",47,1,5,1,12,"1Lapins471","1Lapins47",2,3,2,2,Inf,6,6,12,1,2,Inf,Inf,1
"161","Lapins",47,2,5,1,12,"2Lapins471","2Lapins47",2,3,2,2,Inf,4,4,8,0.666666666666667,NA,Inf,NA,1
"167","Lapins",47,3,5,1,13,"3Lapins471","3Lapins47",2,3,2,2,4,5,8,13,1,4,2,0,1.6
"173","Lapins",47,4,5,1,13,"4Lapins471","4Lapins47",2,3,2,2,4,5,8,13,1,2,2,2,1.6
"179","Lapins",47,5,5,1,9,"5Lapins471","5Lapins47",2,3,4,2,5,3,6,9,1,4,1,1,2
"185","Lapins",47,6,5,1,10,"6Lapins471","6Lapins47",2,3,2,2,6,5,5,10,1,2,4,4,1
"191","Lapins",52,1,5,1,11,"1Lapins521","1Lapins52",2,3,3,2,5,5,6,11,1,3,2,2,1.2
"197","Lapins",52,2,5,1,12,"2Lapins521","2Lapins52",2,3,3,2,Inf,6,5,11,0.916666666666667,5,Inf,Inf,0.833333333333333
"203","Lapins",52,3,5,1,12,"3Lapins521","3Lapins52",2,3,2,2,Inf,5,5,10,0.833333333333333,NA,Inf,NA,1
"209","Lapins",52,4,5,1,8,"4Lapins521","4Lapins52",2,4,3,2,Inf,4,1,5,0.625,NA,Inf,NA,0.25
"215","Lapins",52,5,5,1,11,"5Lapins521","5Lapins52",2,3,2,2,3,2,9,11,1,2,1,1,4.5
"221","Lapins",52,6,5,1,9,"6Lapins521","6Lapins52",2,3,2,2,3,1,8,9,1,2,1,1,8
"227","Lapins",57,1,5,1,12,"1Lapins571","1Lapins57",2,3,2,2,5,5,7,12,1,2,3,3,1.4
"233","Lapins",57,2,5,1,9,"2Lapins571","2Lapins57",2,3,2,2,4,3,6,9,1,3,2,1,2
"239","Lapins",57,3,5,1,12,"3Lapins571","3Lapins57",2,3,2,2,5,5,7,12,1,3,3,2,1.4
"245","Lapins",57,4,5,1,12,"4Lapins571","4Lapins57",2,3,2,2,5,3,9,12,1,3,3,2,3
"251","Lapins",57,5,5,1,12,"5Lapins571","5Lapins57",2,3,2,2,4,2,10,12,1,2,2,2,5
"257","Lapins",57,6,5,1,13,"6Lapins571","6Lapins57",2,3,2,2,4,3,10,13,1,2,2,2,3.33333333333333
"263","Lapins",63,1,5,1,11,"1Lapins631","1Lapins63",2,3,2,2,5,5,6,11,1,4,3,1,1.2
"269","Lapins",63,2,5,1,12,"2Lapins631","2Lapins63",2,3,3,2,5,2,7,9,0.75,NA,2,NA,3.5
"275","Lapins",63,3,5,1,11,"3Lapins631","3Lapins63",2,3,3,2,4,1,10,11,1,3,1,1,10
"281","Lapins",63,4,5,1,12,"4Lapins631","4Lapins63",2,3,3,2,4,2,9,11,0.916666666666667,3,1,1,4.5
"287","Lapins",63,5,5,1,12,"5Lapins631","5Lapins63",2,3,3,2,Inf,7,3,10,0.833333333333333,NA,Inf,NA,0.428571428571429
"293","Lapins",63,6,5,1,12,"6Lapins631","6Lapins63",2,3,2,2,Inf,7,5,12,1,3,Inf,Inf,0.714285714285714
"299","Lapins",70,1,5,1,15,"1Lapins701","1Lapins70",2,3,NA,NA,NA,3,11,14,0.933333333333333,NA,NA,NA,3.66666666666667
"305","Lapins",70,2,5,1,12,"2Lapins701","2Lapins70",2,3,NA,NA,NA,4,6,10,0.833333333333333,NA,NA,NA,1.5
"311","Lapins",70,3,5,1,11,"3Lapins701","3Lapins70",2,3,NA,NA,NA,5,6,11,1,NA,NA,NA,1.2
"317","Lapins",70,4,5,1,12,"4Lapins701","4Lapins70",2,3,NA,NA,NA,3,9,12,1,NA,NA,NA,3
"323","Lapins",70,5,5,1,12,"5Lapins701","5Lapins70",2,3,NA,NA,NA,3,4,7,0.583333333333333,NA,NA,NA,1.33333333333333
"329","Lapins",70,6,5,1,8,"6Lapins701","6Lapins70",2,3,NA,NA,NA,2,6,8,1,NA,NA,NA,3
"335","Lapins",16,1,5,2,11,"1Lapins162","1Lapins16",4,NA,NA,5,Inf,5,0,5,0.454545454545455,NA,NA,NA,0
"340","Lapins",16,2,5,2,10,"2Lapins162","2Lapins16",5,NA,NA,NA,Inf,2,0,2,0.2,NA,NA,NA,0
"345","Lapins",16,3,5,2,13,"3Lapins162","3Lapins16",4,NA,NA,NA,Inf,1,0,1,0.0769230769230769,NA,NA,NA,0
"350","Lapins",16,4,5,2,13,"4Lapins162","4Lapins16",NA,NA,NA,NA,Inf,0,0,0,0,NA,NA,NA,NA
"355","Lapins",16,5,5,2,11,"5Lapins162","5Lapins16",NA,NA,NA,NA,Inf,0,0,0,0,NA,NA,NA,NA
"360","Lapins",16,6,5,2,9,"6Lapins162","6Lapins16",NA,NA,NA,NA,Inf,0,0,0,0,NA,NA,NA,NA
"365","Lapins",26,1,5,2,11,"1Lapins262","1Lapins26",2,5,3,3,Inf,5,5,10,0.909090909090909,4,Inf,Inf,1
